TÊN ĐỊA DANH;Mã địa danh
Huyện Hưng Nguyên;40.431
Thị xã Hoàng Mai;40.432
Tỉnh Hà Tĩnh;42
Thành phố Hà Tĩnh;42.436
Thị xã Hồng Lĩnh;42.437
Huyện Hương Sơn;42.439
Huyện Đức Thọ;42.440
Huyện Vũ Quang;42.441
Huyện Nghi Xuân;42.442
Huyện Can Lộc;42.443
Huyện Hương Khê;42.444
Huyện Thạch Hà;42.445
Huyện Cẩm Xuyên;42.446
Thị xã Kỳ Anh;42.447
Huyện Lộc Hà;42.448
Huyện Kỳ Anh;42.449
Tỉnh Quảng Bình;44
Thành Phố Đồng Hới;44.450
Huyện Minh Hóa;44.452
Huyện Tuyên Hóa;44.453
Huyện Quảng Trạch;44.454
Huyện Bố Trạch;44.455
Huyện Quảng Ninh;44.456
Huyện Lệ Thủy;44.457
Thị xã Ba Đồn;44.458
Tỉnh Quảng Trị;45
Thành phố Đông Hà;45.461
Thị xã Quảng Trị;45.462
Huyện Vĩnh Linh;45.464
Huyện Hướng Hóa;45.465
Huyện Gio Linh;45.466
Huyện Đa Krông;45.467
Huyện Cam Lộ;45.468
Huyện Triệu Phong;45.469
Huyện Hải Lăng;45.470
Huyện Cồn Cỏ;45.471
Tỉnh Thừa Thiên Huế;46
Thành phố Huế;46.474
Huyện Phong Điền;46.476
Huyện Quảng Điền;46.477
Huyện Phú Vang;46.478
Thị xã Hương Thủy;46.479
Thị xã Hương Trà;46.480
Huyện A Lưới;46.481
Huyện Phú Lộc;46.482
Huyện Nam Đông;46.483
Quận Liên Chiểu;48.490
Quận Thanh Khê;48.491
Quận Hải Châu;48.492
Quận Sơn Trà;48.493
Quận Ngũ Hành Sơn;48.494
Quận Cẩm Lệ;48.495
Huyện Hòa Vang;48.497
Huyện Hoàng Sa;48.498
Tỉnh Quảng Nam;49
Thành phố Tam Kỳ;49.502
Thành phố Hội An;49.503
Huyện Tây Giang;49.504
Huyện Đông Giang;49.505
Huyện Đại Lộc;49.506
Thị xã Điện Bàn;49.507
Huyện Duy Xuyên;49.508
Huyện Quế Sơn;49.509
Huyện Nam Giang;49.510
Huyện Phước Sơn;49.511
Huyện Hiệp Đức;49.512
Huyện Thăng Bình;49.513
Huyện Tiên Phước;49.514
Huyện Bắc Trà My;49.515
Huyện Nam Trà My;49.516
Huyện Núi Thành;49.517
Huyện Phú Ninh;49.518
Huyện Nông Sơn;49.519
Tỉnh Quảng Ngãi;51
Thành phố Quảng Ngãi;51.522
Huyện Bình Sơn;51.524
Huyện Trà Bồng;51.525
Huyện Tây Trà;51.526
Huyện Sơn Tịnh;51.527
Huyện Tư Nghĩa;51.528
Huyện Sơn Hà;51.529
Huyện Sơn Tây;51.530
Huyện Minh Long;51.531
Huyện Nghĩa Hành;51.532
Huyện Mộ Đức;51.533
Huyện Đức Phổ;51.534
Huyện Ba Tơ;51.535
Huyện Lý Sơn;51.536
Tỉnh Bình Định;52
Thành phố Qui Nhơn;52.540
Huyện An Lão;52.542
Huyện Hoài Nhơn;52.543
Huyện Hoài Ân;52.544
Huyện Phù Mỹ;52.545
Huyện Vĩnh Thạnh;52.546
Huyện Tây Sơn;52.547
Huyện Phù Cát;52.548
Thị xã An Nhơn;52.549
Huyện Tuy Phước;52.550
Huyện Vân Canh;52.551
Tỉnh Phú Yên;54
Thành phố Tuy Hoà;54.555
Thị xã Sông Cầu;54.557
Huyện Đồng Xuân;54.558
Huyện Tuy An;54.559
Huyện Sơn Hòa;54.560
Huyện Sông Hinh;54.561
Huyện Tây Hoà;54.562
Huyện Phú Hoà;54.563
Huyện Đông Hòa;54.564
Tỉnh Khánh Hòa;56
Thành phố Nha Trang;56.568
Thành phố Cam Ranh;56.569
Huyện Cam Lâm;56.570
Huyện Vạn Ninh;56.571
Thị xã Ninh Hòa;56.572
Huyện Khánh Vĩnh;56.573
